LocationName,LocationType,Address
Mount Mary University,Institution,"2900 N. Menomonee River Pky, Milwaukee, WI 53222-4597"
Nashotah House,Institution,"2777 Mission Rd, Nashotah, WI 53058-9793"
Nicolet Area Technical College,Institution,"P.O. Box 518, Rhinelander, WI 54501-0518"
Nicolet Area Technical College - Lakeland Campus,Additional Location,"9569 Highway 70, PO Box 518, Minocqua, WI 54548"
Nicolet Area Technical College at Peter Christensen Dental Health Clinic,Additional Location,"128 Old Abe Road, Lac du Flambeau, WI 54538"
Forest County Potawatomi Community - Executive Building,Additional Location,"5416 Everybody's Road, Crandon, WI 54520"
Potawatomi Carter Casino Hotel,Additional Location,"618 State Hwy 32, Wabeno, WI 54566"
Lac du Flambeau Band of Lake Superior Chippewa Indians Education Center,Additional Location,"562 Peace Pipe Road, Lac du Flambeau, WI 54538"
Mid-State Technical College - Stevens Point Campus,Additional Location,"1001 Centerpoint Drive, Stevens Point, WI 54481"
Mid-State Technical College - Wisconsin Rapids Campus,Additional Location,"500 32nd Street North, Wisconsin Rapids, WI 54494"
Lakeland Union High School,Additional Location,"9573 State Highway 70, Minocqua, WI 54548"
Mole Lake Tribal Center,Additional Location,"3051 Sand Lake Road, Crandon, WI 54520"
Laona High School,Additional Location,"5216 Forest Ave, Laona, WI 54541"
Mercer High School,Additional Location,"2690 W Margaret St., Mercer, WI 54547"
Northland Pines High School,Additional Location,"1800 Pleasure Island Rd., Eagle River, WI 54521"
Rhinelander High School,Additional Location,"665 Coolidge Ave, Rhinelander, WI 54501"
Tomahawk High School,Additional Location,"1048 E Kings Rd, Tomahawk, WI 54487"
Northcentral Technical College,Institution,"1000 West Campus Dr, Wausau, WI 54401-1899"
Northcentral Technical College East,Additional Location,"312 Forest Avenue, Antigo, WI 54409"
Northcentral Technical College at Colby Community College,Additional Location,"1255 S Range Ave., Colby, KS 67701"
Northcentral Technical College at College of the Menominee Nation,Additional Location,"N172 State Highway 47/55, Keshena, WI 54135"
Northcentral Technical College at Agriculture Center of Excellence,Additional Location,"6625 County Road K, Wausau, WI 54401"
Northcentral Technical College at Merrill Public Safety Building,Additional Location,"1603 Champagne Street, Merrill, WI 54452"
Northcentral Technical College at Nicolet Technical College,Additional Location,"Birchwood Conference Center, 5364 College Dr., Rhinelander, WI 54501"
Northcentral Technical College North,Additional Location,"1408 Pine Ridge Road, Phillips, WI 54555"
Northcentral Technical College Southeast,Additional Location,"1790 Applewood Lane, Suite B, Wittenberg, WI 54499"
Northcentral Technical College Southwest,Additional Location,"808 Pacific Street, Spencer, WI 54479"
Northcentral Technical College West College,Additional Location,"624 E. College, Medford, WI 54451"
Northcentral Technical College at Town of Rib Mountain Fire Department,Additional Location,"5901 Hummingbird Road, Wausau, WI 54401"
Northcentral Technical College West,Additional Location,"1001 Progressive Avenue, Medford, WI 54451"
Fox Valley Technical College,Additional Location,"1825 N. Bluemound Dr., Appleton, WI 54912-2277"
Merrill CDL Training Center,Additional Location,"1204 W. Taylor Street, Merrill, WI 54452"
Northeast Wisconsin Technical College,Institution,"2740 W Mason St, Green Bay, WI 54307-9042"
Northeast Wisconsin Technical College - NWTC-Marinette Campus,Additional Location,"1601 University Drive, Marinette, WI 54143"
Northeast Wisconsin Technical College - NWTC-Sturgeon Bay Campus,Additional Location,"229 North 14th Avenue, Sturgeon Bay, WI 54235-1317"
Northland College,Institution,"1411 Ellis Avenue, Ashland, WI 54806-3999"
Froedtert Memorial Lutheran Hospital,Site,"9200 W. Wisconsin Avenue, Milwaukee, WI 53226-3596"
Ripon College,Institution,"300 Seward St, Ripon, WI 54971-0248"
Sacred Heart Seminary and School of Theology,Institution,"7335 South Highway 100; PO Box 429, Hales Corners, WI 53130-0429"
St. Joseph's Hospital,Institution,"611 St. Joseph Avenue, Marshfield, WI 54449"
St. Luke's Medical Center,Institution,"2900 West Oklahoma Avenue, Milwaukee, WI 53215-2901"
Saint Norbert College,Institution,"100 Grant St, De Pere, WI 54115-2099"
Saint Norbert College at Albuquerque,Additional Location,"4000 St. Joseph Place, Albuquerque, NM 87120"
Saint Norbert College at Norbertine Abbey,Additional Location,"5825 Coors Boulevard, Albuquerque, NM 87121"
Madison Cosmetology College,Institution,"310 Westgate Mall, Madison, WI 53711-1030"
Holy Family College,Institution,"2406 S Alverno Rd, Manitowoc, WI 54220-9319"
Silver Lake College - Madison Area Technical College,Additional Location,"3550 Anderson Street, Madison, WI 53704"
Silver Lake College at Fox Valley Technical College,Additional Location,"1825 N. Bluemound Drive, Appleton, WI 54912-2277"
Silver Lake College at Chilton High School,Additional Location,"530 W. Main Street, Chilton, WI 53014"
Silver Lake College at Chippewa Valley Technical College,Additional Location,"770 Schneider Road, Chippewa Falls, WI 54729"
Silver Lake College at Fort McCoy,Additional Location,"100 East Headquarters Rd., Fort McCoy, WI 54656"
Silver Lake College at Aurora BayCare Medical Center,Additional Location,"2845 Greenbrier Road, Green Bay, WI 54308"
Silver Lake College at Northeast Wisconsin Technical College,Additional Location,"2740 West Mason Street, Green Bay, WI 54307-9042"
Silver Lake College at College of Menominee Nation,Additional Location,"PO Box 1179, Keshena, WI 54135"
Silver Lake College at Mount Scenario,Additional Location,"1500 Port Arthur Rd., Ladysmith, WI 54848"
Silver Lake College at Madison Area Technical College,Additional Location,"3550 Anderson Street, Madison, WI 53704"
Silver Lake College at Northeast Wisconsin Technical,Additional Location,"1601 University Drive, Marinette, WI 54143"
Silver Lake College at Parkway Christian Academy,Additional Location,"10940 S Nicholson Rd, Oak Creek, WI 53154"
Silver Lake College at Pulaski High School,Additional Location,"1040 S. Augustine, Pulaski, WI 54162"
Silver Lake College at Nicolet Technical College,Additional Location,"5364 College Drive, Rhinelander, WI 54501"
Silver Lake College at University of Wisconsin-Barron County,Additional Location,"1800 College Drive, Rice Lake, WI 54868"
Silver Lake College at Sheboygan Job Center,Additional Location,"3620 Wilgus Avenue, Sheboygan, WI 53081"
Silver Lake College at Northcentral Technical College,Additional Location,"1000 W. Campus Drive, Wausau, WI 54401-1899"
Silver Lake College at Catholic Memorial High School,Additional Location,"601 East College Ave, Wauskesha, WI 53186-0531"
Silver Lake College at Moraine Park Technical College,Additional Location,"235 N. National Avenue, Fond du Lac, WI 54935-2884"
Silver Lake College at Newman High School,Additional Location,"1130 W. Bridge Street, Wausau, WI 54401"
Silver Lake College at Oneida Bingo & Casino,Additional Location,"2170 Airport Drive, Green Bay, WI 54313"
Silver Lake College at Bellin College of Nursing,Additional Location,"725 S. Webster Avenue, Green Bay, WI 54305-3400"
Saint Francis Seminary,Institution,"3257 S Lake Dr, Saint Francis, WI 53235-3795"
State College of Beauty Culture Inc,Institution,"1930 Grand Avenue, Wausau, WI 54403"
Southwest Wisconsin Technical College,Institution,"1800 Bronson Blvd, Fennimore, WI 53809-9778"
Theda Clark Medical Center,Institution,"130 Second Street, P.O. Box 2021, Neenah, WI 54956-2021"
University of Wisconsin Colleges,Institution,"780 Regent St, Madison, WI 53708-8680"
University of Wisconsin Colleges - UW Baraboo/Sauk County,Additional Location,"1006 Connie Road, Baraboo, WI 53913-1098"
University of Wisconsin Colleges - UW Barron County,Additional Location,"1800 College Drive, Rice Lake, WI 54868-2497"
University of Wisconsin Colleges - UW Fond du Lac,Additional Location,"400 University Drive, Fond du Lac, WI 54935-2998"
University of Wisconsin Colleges - UW Fox Valley,Additional Location,"1478 Midway Road, Menasha, WI 54952-1297"
University of Wisconsin Colleges - UW Manitowoc,Additional Location,"705 Viebahn Street, Manitowoc, WI 54220-6699"
University of Wisconsin Colleges - UW Marathon County,Additional Location,"518 South Seventh Avenue, Wausau, WI 54401-5396"
University of Wisconsin Colleges - UW Marinette,Additional Location,"750 West Bay Shore, Marinette, WI 54143-4299"
University of Wisconsin Colleges - UW Marshfield/Wood County,Additional Location,"2000 West Fifth Street, Marshfield, WI 54449-3310"
University of Wisconsin Colleges - UW Richland,Additional Location,"1200 Highway 14 West, Richland Center, WI 53581-1399"
University of Wisconsin Colleges - UW Rock County,Additional Location,"2909 Kellogg Avenue, Janesville, WI 53546-5699"
University of Wisconsin Colleges - UW Sheboygan,Additional Location,"One University Drive, Sheboygan, WI 53081-4789"
University of Wisconsin Colleges - UW Washington County,Additional Location,"400 University Drive, West Bend, WI 53095-3699"
University of Wisconsin Colleges - UW Waukesha,Additional Location,"1500 N. University Drive, Waukesha, WI 53188-2799"
Viterbo University,Institution,"900 Viterbo Drive, La Crosse, WI 54601-8804"
Viterbo University at Appleton School District,Additional Location,"5000 N Ballard Rd, Appleton, WI 54913"
Viterbo University at Ashland CESA 12,Additional Location,"618 Beaser Ave. W, Ashland, WI 54806"
Viterbo University at Baraboo SCEA,Additional Location,"135 3rd Avenue, Baraboo, WI 53913"
Viterbo University at Oman Guidance Research,Additional Location,"5001 American Blvd. W., Suite 715, Bloomington, MN 55437"
Viterbo University at Great Prairie AEA,Additional Location,"3601 West Ave. Rd, Burlington, IA 52610"
Viterbo University at Cedar Falls AEA 267,Additional Location,"3712 Cedar Heights Dr., Cedar Falls, IA 50613"
Viterbo University at Chippewa Falls School District,Additional Location,"1130 Milles St., Chippewa Falls, WI 54729"
Viterbo University at St. Joseph Hospital,Additional Location,"770 Scheidler Road, Chippewa Falls, WI 54729"
Viterbo University at Columbus School District,Additional Location,"200 W School Street, Columbus, WI 53925"
Viterbo University at Crestwood High School,Additional Location,"1000 Schroeder Dr, Cresco, WI 52136"
Viterbo University at Dallas Center CSD,Additional Location,"1414 Walnut St., Dallas Center, IA 50063"
Viterbo University at Eau Claire School District,Additional Location,"500 Main St., Eau Claire, WI 54701"
Viterbo University at Southwest Wisconsin Technical College,Additional Location,"1800 Bronson Blvd., Fennimore, WI 53809"
Viterbo University at Fort Healthcare,Additional Location,"611 Sherman Avenue E, Fort Atkinson, WI 53538"
Viterbo University at Fort McCoy,Additional Location,"100 East Headquaters, Fort McCoy, WI 54656-5263"
Viterbo University at Gillett CESA 8,Additional Location,"223 W. Park St., P.O. Box 320, Gillett, WI 54124"
Viterbo University at Green Bay Center,Additional Location,"3061 Allied St., Suite A, Green Bay, WI 54304"
Viterbo University at Kewaskum Administration Center,Additional Location,"1455 School St., Kewaskum, WI 53040"
Viterbo University at Kaukauna District,Additional Location,"112 Main Ave., Kuakuana, WI 53130"
Viterbo University at Lakeland College Madison Campus,Additional Location,"3591 Anderston Street, Suite 101, Madison, WI 53704"
Viterbo University at Lenihan Intermediate School,Additional Location,"212 W. Ingledue, Marshalltown, IA 50158"
Viterbo University at Holiday Inn,Additional Location,"750 S. Central Ave, Marshfield, WI 54449"
Viterbo University at Middleton - Cross Plains School District,Additional Location,"7106 South Ave, Middleton, WI 53562"
Viterbo University at Mt. Pleasant CSD,Additional Location,"400 E. Madison, Mt. Pleasant, IA 52641"
Viterbo University at Wisconsin Indianhead Technical College,Additional Location,"1019 S. Knowles Ave., New Richmond, WI 54017"
Viterbo University at Great Prairie AEA,Additional Location,"2814 N. Court St., Ottumwa, IA 52501"
Viterbo University at Portage School District,Additional Location,"904 Dewitt Street, Portage, WI 53901"
Viterbo University at Northrop Community Education Center,Additional Location,"201 8th St. NW, Rochester, MN 55901"
Viterbo University at Shawano School District,Additional Location,"2200 County Road B, Shawano, WI 54166"
Viterbo University at Wisconsin Indianhead Technical College,Additional Location,"600 North 21st Street, Superior, WI 54880"
Viterbo University at Tomahawk CESA,Additional Location,"9304 Kaphaem Rd., Tomahawk, WI 54487"
Viterbo University at Turtle Lake CESA 11,Additional Location,"225 Osterman Dr., Turtle Lake, WI 54889"
Viterbo University at Westwood Conference Center,Additional Location,"1800 W. Bridge St., Wausau, WI 54401"
Viterbo University at Wauwatosa School District,Additional Location,"12121 W. North Ave., Wauwatosa, WI 53226"
Viterbo University at Milwaukee Center,Additional Location,"1212 S. 109th St., Suite 375, West Allis, WI 53227"
Viterbo University at WDM Center,Additional Location,"3550 MIlls Civic Pkwy, West Des Moines, IA 50265"
Viterbo University at West Salem CESA 4,Additional Location,"923 E. Garland, West Salem, WI 54669"
Viterbo University at Mercy Health System,Additional Location,"Henry Palmer Building 901 Mineral Point Rd., Janesville, WI 53547"
